Store Name,Address,City,State,Zip,Phone Number,Hours of Operation,Days of Operation
SPROUTS HIGLEY,1668 N. Higley Rd. ,Gilbert,AZ,85324,,7:00am - 5:00pm,Monday - Sunday
SPROUTS CAREFREE,Carefree Hwy. & I-17 34750 N. North Valley Pkwy.,Phoenix,AZ,85086,480-207-1286,7:00am - 5:00pm,Monday - Sunday
SPROUTS MILLER,4402 N. Miller Rd.,Scottsdale,AZ,85251,480-590-5897,7:00am - 5:00pm,Monday - Sunday
SPROUTS SHEA,9301 E. Shea Blvd. #132,Scottsdale,AZ,85260,480-214-5106,7:00am - 5:00pm,Monday - Sunday
SPROUTS PINNACLE,23269 N. Scottsdale Rd.,Scottsdale,AZ,85255,480-275-7024,7:00am - 5:00pm,Monday - Sunday
SPROUTS GAINEY,8787 N. Scottsdale Rd.,Scottsdale,AZ,85253,480-265-9090,7:00am - 5:00pm,Monday - Sunday
SPROUTS OSBORN | PHOENIX,3320 N. 7th Ave.,Phoenix,AZ,85013,602-675-0766,7:00am - 5:00pm,Monday - Sunday
CONVENTION CENTER,"125 N. 2nd St., Ste. 100",Phoenix,AZ,85004,480-572-0041,6:30am - 4:00pm,Monday - Sunday
100 Mill | TEMPE,100 S. Mill Ave.,Tempe,AZ,85281,602.595.3421,6:30am - 4:00pm,Monday - Sunday
BILTMORE CENTER | PHOENIX,2390 E Camelback Rd.,Phoenix,AZ,85016,(602) 283-5591,6:30am - 5:30pm,Monday - Sunday
CHANDLER,1085 W Queen Creek Rd. Suite 4,Chandler,AZ,85248,,6:30am - 4:00pm,Monday - Sunday
EVB | PHOENIX,200 E Van Buren St.,Phoenix,AZ,85004,(602) 612-4160,6:30am - 4:00pm,Monday - Sunday
SCOTTSDALE MCCORMICK,8300 N Hayden Rd E107,Scottsdale,AZ,85258,(480) 398-8426,| 6:30am - 4:00 pm,Monday - Sunday
RAINTREE | SCOTTSDALE,"8605 East Raintree Drive, Suite 190",Scottsdale,AZ,85260,480-584-5604,6:30am - 4:00pm,Monday - Sunday
GILBERT RESERVE,355 E Germann Rd.,Gilbert,AZ,85297,(480) 466-7358,6:30am - 4:00pm,Monday - Sunday
The Roastery | Phoenix,10443 N 32nd St.,Phoenix,AZ,85028,(602) 314-4201,| 6:30am - 5:00pm,Monday - Sunday
SKYWATER | TEMPE,601 W Rio Salado Pkwy #103,Tempe,AZ,85281,(480) 794-1107,6:30am - 4:00pm,Monday - Sunday
Scottsdale Quarter Mall,15257 N Scottsdale Rd.  ,Scottsdale,AZ,85260,(480) 718-9762,| 6:30am - 7:00pm,Monday - Sunday
SCOTTSDALE WATERFRONT,7135 E Camelback Rd #145,Scottsdale,AZ,85251,(480) 284-4044,| 6:30am - 5:00pm,Monday - Sunday